"Format","AiM CSV File"
"Session","23.077°N, 113.530°E"
"Vehicle","A03_AF25"
"Racer","AGX_26"
"Championship",""
"Comment",""
"Date","Sunday, January 25, 2026"
"Time","1:57 PM"
"Sample Rate","20"
"Duration","89"
"Segment","Session"
"Beacon Markers","89"
"Segment Times","1:29.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"0.400","0.0551","10","0.0000","0.0000","-40.5418","22.3630","0.0000","10.4952","26.0000","0.1971","10000.0000","23.07722462","113.53033398","55.0026","11.2413","-72.4875","-73.0400","-72.7550","-73.1600","-73.4100","-74.0400","-72.3200","-74.9125","0.6211","0.5210","-2.0781","120.1198","0.0000","0.0000","-0.0064","0.0000","582.0000","0.0020","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2349.0000","612.0526","2188.2632","958.0000","31.0000","3.0000","1.1053","31.0000","29.0000","-0.0000","0.0037","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0141"
"0.450","0.0692","10","0.0000","0.0000","-48.7440","46.6303","0.0000","10.4856","25.9790","0.2000","10000.0000","23.07722477","113.53033407","54.9479","11.2480","-70.9025","-73.1050","-72.4550","-72.1075","-73.4075","-73.5800","-72.5125","-74.2350","0.6216","0.5210","-2.0781","120.1250","0.0000","0.0000","-0.0167","0.0000","582.0000","0.0020","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2348.1580","611.0000","2187.2104","956.9474","31.0000","3.0000","1.6316","31.0000","29.0000","-0.0000","-0.0279","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0150"
"0.500","0.1481","10","0.0000","0.0000","-27.8735","43.3516","0.0000","10.4806","25.9290","0.2000","10000.0000","23.07722494","113.53033417","54.8828","11.2580","-72.1375","-72.6000","-71.7450","-73.2500","-74.2250","-73.8150","-72.9300","-73.8100","0.6226","0.5210","-2.0781","120.1250","0.0000","0.0000","-0.0122","0.0000","582.0432","0.0029","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2346.0527","611.0000","2185.6316","954.8421","31.0000","3.0000","2.0000","31.0000","29.0000","-0.0000","-0.0405","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0165"
"0.550","0.1638","10","0.0000","0.0000","-19.2762","5.4905","0.0000","10.4777","25.9000","0.1979","10000.0000","23.07722510","113.53033422","54.8958","11.2587","-72.7525","-72.6050","-71.9925","-72.0825","-74.2175","-73.8750","-73.6300","-74.3800","0.6243","0.5210","-2.0781","120.0938","0.0000","0.0000","-0.0019","0.0000","582.0958","0.0039","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.7368","2343.9473","611.0000","2185.3157","954.6316","31.0000","3.0000","2.0000","31.0000","29.0000","-0.0000","-0.0090","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0187"
"0.600","0.0924","10","0.0000","0.0000","-27.6274","-80.1271","0.0000","10.4775","25.9000","0.1929","10000.0000","23.07722524","113.53033419","55.0260","11.2453","-72.0250","-72.8350","-73.1125","-73.1250","-73.9775","-74.3475","-73.5400","-74.3425","0.6250","0.5210","-2.0762","120.0156","0.0000","0.0000","0.0000","0.0000","582.1000","0.0040","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.2105","2341.8420","611.0000","2185.8420","955.6842","31.0000","3.0000","2.0000","31.0000","29.0000","-0.0000","0.0016","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0205"
"0.650","0.0629","10","0.0000","0.0000","-27.8125","-95.0693","0.0000","10.4736","25.8790","0.1921","10000.0000","23.07722541","113.53033423","55.1562","11.2320","-70.9825","-73.0850","-72.5250","-73.9000","-74.2000","-73.5450","-74.1825","-74.6800","0.6248","0.5210","-2.0771","119.9375","0.0000","0.0000","0.0000","0.0000","582.1000","0.0040","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.0000","2340.6843","610.2632","2186.0000","954.8947","31.0000","3.0000","2.0000","31.0000","29.0000","-0.0000","-0.0195","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0215"
"0.700","0.0914","10","0.0000","0.0000","-16.7204","-12.4122","0.0000","10.4644","25.8290","0.1971","10000.0000","23.07722559","113.53033435","55.0651","11.2453","-72.2300","-73.2825","-73.1100","-72.3725","-73.7250","-73.5850","-73.6825","-74.6450","0.6265","0.5205","-2.0801","119.9635","0.0000","0.0000","0.0000","0.0000","582.1000","0.0040","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.0000","2340.1580","609.2105","2186.0000","953.3158","31.0000","3.0000","1.7253","31.0000","29.0000","-0.0000","-0.0355","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0226"
"0.750","0.1165","10","0.0000","0.0000","-14.6529","55.7476","0.0000","10.4519","25.8000","0.1979","10000.0000","23.07722576","113.53033447","54.9740","11.2587","-71.0300","-72.7350","-72.5150","-73.0600","-73.9925","-74.0450","-73.3525","-74.5200","0.6255","0.5205","-2.0801","119.9896","0.0000","0.0000","-0.0001","0.0000","582.0937","0.0101","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.0000","2339.6316","609.8421","2184.7368","952.5789","31.0000","3.0000","1.1758","31.0000","29.0000","-0.0000","-0.0465","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0240"
"0.800","0.1367","10","0.0000","0.0000","-25.0479","103.8876","0.0000","10.4347","25.8000","0.1929","10000.0000","23.07722593","113.53033456","54.9531","11.2640","-71.4325","-72.7825","-72.8475","-73.6175","-74.0625","-74.0725","-73.1550","-74.8675","0.6221","0.5210","-2.0801","120.0000","0.0000","0.0000","-0.0053","0.0000","582.0411","0.0606","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.0000","2339.1052","610.8947","2183.1580","952.0526","31.0000","3.0000","1.3617","31.0000","29.0000","-0.0000","-0.0392","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0258"
"0.850","0.1399","10","0.0000","0.0000","-33.9008","130.7320","0.0000","10.4202","25.7790","0.1879","10000.0000","23.07722610","113.53033465","54.9792","11.2640","-72.0875","-72.6025","-72.3600","-73.7400","-74.1150","-73.4850","-73.1775","-74.0975","0.6196","0.5215","-2.0781","120.0000","0.0000","0.0000","-0.0092","0.0000","581.9769","0.1000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.0000","2339.8420","611.4737","2185.8420","952.0000","31.0000","3.0000","1.8936","31.0000","29.0000","-0.0000","-0.0232","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0277"
