"Format","AiM CSV File"
"Session","23.077°N, 113.530°E"
"Vehicle","A03_AF25"
"Racer","AGX_26"
"Championship",""
"Comment",""
"Date","Sunday, January 25, 2026"
"Time","1:57 PM"
"Sample Rate","20"
"Duration","89"
"Segment","Session"
"Beacon Markers","89"
"Segment Times","1:29.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"26.500","5.3469","10","0.0910","0.4843","-22.0501","19.0260","34.8462","-2.2355","29.0710","0.4400","2.4421","23.07719069","113.53027032","55.0625","11.2533","-70.8250","-71.5175","-71.3425","-72.7450","-73.5100","-72.8700","-72.1975","-73.6500","0.5967","0.6143","-2.0527","120.5625","1916.5264","1673.4210","0.0000","1.8501","579.5000","1.0340","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46732.3047","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1698.7684","611.0211","2235.2737","954.7684","30.0000","2.0000","1.0000","30.0000","29.0000","11.1324","19.7387","0.0000","10.8000","-10.1834","0.0000","0.0000","0.0000","0.0000","58.2914"
"26.550","6.0764","10","0.0903","0.4437","-19.2398","21.1113","47.1651","-2.2777","29.1000","0.4358","2.0504","23.07719176","113.53027090","55.0625","11.2667","-70.8350","-71.6350","-71.2075","-73.1375","-74.1825","-73.0125","-72.6600","-74.2225","0.6113","0.5872","-2.0693","120.5625","1907.5790","1680.2632","0.0000","1.8656","579.5000","1.0340","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46982.5156","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1698.5895","615.2316","2240.0105","958.4526","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.3214","0.0000","10.8000","-10.1755","0.0000","0.0000","0.0000","0.0000","58.3695"
"26.600","6.7682","10","0.0995","0.3781","-17.4289","23.7183","42.6079","-2.3180","29.1000","0.4258","2.5282","23.07719285","113.53027158","55.0781","11.2680","-71.3475","-71.7300","-71.9750","-74.1325","-73.2625","-72.9575","-72.0675","-74.1550","0.5947","0.6006","-2.0664","120.5625","1901.4736","1684.5790","0.0155","1.9244","579.5842","1.1431","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47035.6719","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1698.0631","617.6105","2242.6106","960.0000","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","18.8104","0.0000","10.8000","-10.1909","0.0000","0.0000","0.0000","0.0000","58.4571"
"26.650","7.1707","10","0.1112","0.3054","-16.3940","26.5227","40.3305","-2.3615","29.1000","0.4200","2.8298","23.07719374","113.53027228","55.1042","11.2613","-71.2800","-70.9625","-71.8100","-73.3150","-72.8000","-72.3600","-71.3600","-74.0200","0.5896","0.6423","-2.0801","120.5625","1897.2632","1687.2106","0.0413","2.0121","579.6895","1.2794","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47212.7695","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1698.4631","618.6631","2243.6631","960.0000","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.0198","0.0000","10.8000","-10.2245","0.0000","0.0000","0.0000","0.0000","58.5541"
"26.700","7.1736","10","0.1262","0.2228","-16.4309","29.5996","41.2017","-2.4093","29.1000","0.4200","2.7710","23.07719436","113.53027301","55.1276","11.2567","-71.0400","-71.0750","-72.1175","-72.3375","-72.8550","-73.0900","-72.4575","-73.7375","0.6050","0.6626","-2.0664","120.5677","1901.1578","1682.8422","0.0309","2.1503","579.7000","1.2930","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47479.6094","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1698.9895","619.7158","2244.7158","961.4316","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.2897","0.0000","10.8000","-10.2742","0.0000","0.0000","0.0000","0.0000","58.6537"
"26.750","7.2348","10","0.1272","0.1528","-16.3220","31.6801","38.7567","-2.4431","29.1210","0.4179","2.9710","23.07719504","113.53027367","55.1406","11.2600","-70.2125","-72.1225","-71.8200","-72.0300","-74.0300","-73.3550","-72.3200","-73.8975","0.6050","0.6575","-2.0625","120.5938","1908.5264","1675.4736","0.0052","2.3102","579.7000","1.2930","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47570.0117","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1696.9369","620.7684","2245.7683","963.5369","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.9107","0.0000","10.8000","-10.3321","0.0000","0.0000","0.0000","0.0000","58.7537"
"26.800","7.3767","10","0.1087","0.1001","-16.0120","32.3845","31.7325","-2.4576","29.1710","0.4129","3.6998","23.07719578","113.53027423","55.1536","11.2633","-71.2175","-69.8450","-71.9075","-72.5775","-73.5150","-72.6925","-72.8800","-73.7800","0.6050","0.6436","-2.0664","120.6198","1918.8422","1677.3684","-0.0041","2.4123","579.7000","1.2930","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47577.3789","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0421","1694.6632","620.1790","2245.1790","963.1790","30.0000","2.0000","1.0000","30.0000","29.0000","11.1274","20.4712","0.0000","10.8000","-10.3308","0.0000","0.0000","0.0000","0.0000","58.8549"
"26.850","7.4663","10","0.0983","0.0670","-15.9620","32.7070","27.5578","-2.5010","29.2000","0.4100","4.3120","23.07719657","113.53027488","55.1146","11.2640","-70.8600","-72.0000","-71.8850","-72.3725","-72.4825","-73.6125","-72.6850","-73.8025","0.6226","0.6287","-2.0439","120.6250","1929.8948","1681.5790","-0.0093","2.5000","579.7000","1.3115","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47499.3594","0.0000","0.0000","0.0000","0.0000","0.0000","-40.5684","1690.4526","619.1263","2244.1262","962.1263","30.0000","2.0000","1.0000","30.0000","29.0000","11.1463","20.7554","0.0000","10.8000","-10.3108","0.0000","0.0000","0.0000","0.0000","58.9580"
"26.900","7.4838","10","0.0991","0.0608","-16.2709","32.5020","27.3181","-2.5841","29.2000","0.4100","4.3601","23.07719743","113.53027563","55.0625","11.2640","-72.1675","-72.1850","-71.4550","-72.8375","-73.3100","-73.4975","-72.5725","-73.5500","0.6187","0.6113","-2.0371","120.6250","1929.5790","1688.1578","-0.0098","2.3927","579.7000","1.4962","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47397.2539","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1686.4315","615.7579","2240.2947","959.2211","30.0000","2.0000","1.0000","30.0000","29.0000","11.1706","20.8848","0.0000","10.8000","-10.2324","0.0000","0.0000","0.0000","0.0000","59.0618"
"26.950","7.6693","10","0.0981","0.0548","-16.0825","33.0972","26.6594","-2.6349","29.2210","0.4016","4.5785","23.07719836","113.53027642","55.0365","11.2613","-71.3875","-71.4950","-72.0050","-73.4625","-72.8175","-73.0700","-72.5100","-73.6575","0.6094","0.6106","-2.0664","120.6354","1928.0000","1695.0000","-0.0098","2.2638","579.6474","1.6242","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47214.5586","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1683.2737","612.0737","2236.0842","956.0632","30.0000","2.0000","1.0000","30.0000","29.0000","11.2085","20.6164","0.0000","10.8000","-10.1445","0.0000","0.0000","0.0000","0.0000","59.1664"
"27.000","8.0867","10","0.0948","0.0492","-15.2074","34.7975","25.4223","-2.6412","29.2710","0.3816","5.0626","23.07719936","113.53027727","55.0495","11.2547","-69.5075","-72.3725","-72.6500","-72.4075","-73.2650","-73.5250","-72.3950","-72.0075","0.6143","0.6162","-2.0527","120.6615","1926.9474","1686.5790","-0.0098","2.2741","579.3842","1.5253","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47020.8750","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1681.0000","610.9684","2234.4526","956.5158","30.0000","2.0000","1.0000","30.0000","29.0000","11.2320","20.4900","0.0000","10.8000","-10.1349","0.0000","0.0000","0.0000","0.0000","59.2742"
"27.050","8.3951","9","0.0861","0.0433","-14.5641","36.6086","22.8343","-2.6551","29.3000","0.3658","5.8514","23.07720027","113.53027815","55.0625","11.2480","-71.0250","-71.5125","-71.6475","-72.9750","-73.1125","-73.2050","-72.7950","-73.6300","0.5977","0.6477","-2.0547","120.6875","1927.0000","1679.5790","-0.0093","2.2705","579.2000","1.4560","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46897.8516","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1681.0000","609.9158","2233.0420","956.5789","30.0000","2.0000","1.0000","30.0000","29.0000","11.2320","20.5953","0.0000","10.8000","-10.1265","0.0000","0.0000","0.0000","0.0000","59.3879"
"27.100","8.5530","9","0.0700","0.0371","-14.2407","38.5727","18.3808","-2.6797","29.3000","0.3558","7.4059","23.07720105","113.53027908","55.0625","11.2547","-72.0575","-72.3100","-71.4375","-73.3350","-73.6400","-72.2325","-72.1400","-73.3175","0.5938","0.6543","-2.0781","120.7135","1937.0000","1685.3684","-0.0041","2.1416","579.2000","1.4560","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46746.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1681.6000","608.8632","2233.5684","951.3158","30.0000","2.0000","1.0000","30.0000","29.0000","11.2320","20.6078","0.0000","10.8000","-10.0855","0.0000","0.0000","0.0000","0.0000","59.5051"
"27.150","8.5421","9","0.0561","0.0327","-14.3180","40.0064","14.5811","-2.7230","29.3000","0.3500","9.3238","23.07720176","113.53028001","55.0625","11.2613","-72.2925","-71.7125","-70.8600","-72.6925","-72.4900","-72.9550","-72.5250","-73.7125","0.6057","0.6548","-2.0625","120.7396","1944.6842","1689.5790","0.0000","2.0528","579.2000","1.4560","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46246.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1683.1790","608.2842","2234.0000","947.4737","30.0000","2.0000","1.0000","30.0000","29.0000","11.2320","20.5199","0.0000","10.8000","-10.0353","0.0000","0.0000","0.0000","0.0000","59.6237"
"27.200","8.2978","9","0.0452","0.0307","-14.9485","40.7077","11.6842","-2.7922","29.3000","0.3500","11.3027","23.07720237","113.53028092","55.0703","11.2640","-71.4200","-72.4025","-71.7475","-72.2475","-72.7225","-73.9125","-72.3100","-73.4975","0.5991","0.6523","-2.0566","120.7500","1943.1052","1687.4736","0.0000","2.1251","579.2000","1.4560","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45802.8438","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1686.2737","609.8632","2234.0000","950.1053","30.0000","2.0000","1.0000","30.0000","29.0000","11.2194","20.7252","0.0000","10.8000","-9.9374","0.0000","0.0000","0.0000","0.0000","59.7415"
"27.250","8.0771","9","0.0320","0.0178","-15.5773","40.7642","8.2108","-2.8674","29.3210","0.3500","15.6563","23.07720303","113.53028183","55.0833","11.2640","-71.6175","-71.5650","-72.3575","-73.7100","-73.6000","-72.6975","-72.3025","-73.3850","0.5896","0.6309","-2.0723","120.7500","1942.3158","1687.5790","-0.0031","2.1447","579.2000","1.4457","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45618.6328","0.0000","0.0000","0.0000","0.0000","0.0000","-41.0000","1691.0105","611.5895","2234.8843","952.7368","30.0000","2.0000","1.0000","30.0000","29.0000","11.2002","21.0816","0.0000","10.8000","-9.8619","0.0000","0.0000","0.0000","0.0000","59.8558"
"27.300","7.8890","9","0.0154","-0.0103","-16.2037","39.9304","3.9414","-2.9509","29.3710","0.3500","31.8555","23.07720374","113.53028271","55.0807","11.2633","-71.2675","-71.7425","-72.0175","-72.4250","-72.7000","-71.9650","-71.6825","-74.1625","0.6069","0.6079","-2.0645","120.7396","1943.3684","1692.8422","-0.0134","2.0415","579.2000","1.4252","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45407.1562","0.0000","0.0000","0.0000","0.0000","0.0000","-40.6947","1693.6105","613.6948","2238.0420","955.3684","30.0000","2.0000","1.0000","30.0000","29.0000","11.1960","20.5857","0.0000","10.8000","-9.8497","0.0000","0.0000","0.0000","0.0000","59.9673"
"27.350","7.8244","9","-0.0098","-0.0247","-16.7127","39.3287","-2.5363","-3.0566","29.4000","0.3437","49.0983","23.07720456","113.53028370","55.0156","11.2600","-71.0300","-71.8650","-71.3075","-72.0200","-73.1300","-74.2900","-71.0375","-73.3675","0.6084","0.6272","-2.0879","120.6875","1937.2632","1695.5790","-0.0196","1.8476","579.2000","1.4170","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45125.5781","0.0000","0.0000","0.0000","0.0000","0.0000","-40.1684","1694.6632","615.0000","2240.0000","957.0000","30.0000","2.0000","1.0000","30.0000","29.0000","11.1960","19.8494","0.0000","10.8000","-9.8278","0.0000","0.0000","0.0000","0.0000","60.0768"
"27.400","7.9305","9","-0.0468","-0.0203","-17.0596","39.0475","-12.0637","-3.1929","29.4000","0.3287","10.4625","23.07720553","113.53028484","54.9505","11.2567","-71.2625","-68.3575","-71.6600","-71.6325","-72.7775","-73.1750","-69.4675","-74.1850","0.5752","0.6240","-2.0996","120.6354","1920.4210","1694.5264","-0.0196","1.5175","579.2000","1.4170","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44908.6016","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1696.0737","615.0000","2240.0000","957.0000","30.0000","2.0000","1.0000","30.0000","29.0000","11.1960","19.3860","0.0000","10.8000","-9.7883","0.0000","0.0000","0.0000","0.0000","60.1859"
"27.450","8.0775","9","-0.0757","-0.0097","-17.1630","37.7459","-19.5797","-3.3055","29.4000","0.3179","6.5659","23.07720657","113.53028583","55.0312","11.2613","-71.9425","-71.9925","-71.3300","-72.0875","-73.1600","-73.6625","-71.4450","-73.5350","0.5803","0.6221","-2.0771","120.6667","1911.7368","1694.5264","-0.0170","1.3859","579.3842","1.2612","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44797.0195","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1697.6526","615.5052","2240.5054","957.7579","30.0000","2.0000","1.0000","30.0000","29.0000","11.1930","18.9818","0.0000","10.8000","-9.7767","0.0000","0.0000","0.0000","0.0000","60.2966"
"27.500","8.2812","9","-0.0935","0.0095","-16.9303","35.0354","-24.3180","-3.3853","29.4000","0.3129","5.4198","23.07720771","113.53028662","55.1484","11.2680","-71.6425","-72.3400","-72.0375","-72.2400","-72.9350","-72.7625","-72.1900","-74.1625","0.6045","0.6343","-2.0352","120.7188","1911.2106","1695.5790","-0.0119","1.4530","579.6474","1.0385","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44805.4414","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1699.6421","616.5579","2241.5579","959.3369","30.0000","2.0000","1.0000","30.0000","29.0000","11.1551","19.1292","0.0000","10.8000","-9.7977","0.0000","0.0000","0.0000","0.0000","60.4095"
"27.550","8.4519","9","-0.0911","0.0410","-16.8261","33.2501","-23.7562","-3.4757","29.3790","0.3142","5.6624","23.07720883","113.53028746","55.1979","11.2693","-71.4050","-72.3025","-71.5575","-73.8775","-72.4550","-73.2975","-73.2475","-73.3150","0.6133","0.6382","-2.0225","120.7604","1916.6842","1690.6316","-0.0098","1.6624","579.7000","0.9940","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44943.8633","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1701.7473","618.2211","2243.5264","961.2211","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.2917","0.0000","10.8000","-9.7834","0.0000","0.0000","0.0000","0.0000","60.5250"
"27.600","8.5773","9","-0.0610","0.0894","-16.8992","32.7426","-15.8752","-3.5806","29.3290","0.3242","8.5991","23.07720992","113.53028840","55.1458","11.2627","-70.5350","-72.1550","-71.8050","-72.7700","-72.5325","-73.8575","-71.9675","-73.8600","0.5928","0.6396","-2.0938","120.7865","1926.1578","1681.6842","-0.0098","1.9667","579.7000","0.9940","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44956.8203","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1701.0737","620.3263","2246.1580","963.3263","30.0000","2.0000","1.0000","30.0000","29.0000","11.1240","19.5233","0.0000","10.8000","-9.7413","0.0000","0.0000","0.0000","0.0000","60.6427"
"27.650","8.7257","9","-0.0271","0.1223","-16.9022","33.2956","-7.1295","-3.6816","29.3000","0.3237","19.4789","23.07721095","113.53028941","55.0938","11.2560","-69.5350","-72.1250","-71.8750","-72.8675","-72.7200","-73.3600","-72.0025","-74.0525","0.5835","0.6033","-2.1191","120.8125","1924.9474","1682.6842","-0.0062","2.0941","579.7000","0.9940","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44878.9258","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1700.0210","617.4211","2243.0632","961.1368","30.0000","2.0000","1.0000","30.0000","29.0000","11.1293","19.4763","0.0000","10.8000","-9.7301","0.0000","0.0000","0.0000","0.0000","60.7624"
"27.700","8.9060","9","0.0120","0.1337","-16.8081","35.3131","2.8103","-3.7770","29.3000","0.3087","50.4376","23.07721191","113.53029055","55.0156","11.2593","-71.3175","-71.9150","-71.7175","-72.0450","-72.6975","-72.7775","-73.0600","-73.2225","0.6450","0.5698","-2.0410","120.7865","1919.1578","1687.9474","-0.0010","2.1457","579.7000","0.9940","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45004.3164","0.0000","0.0000","0.0000","0.0000","0.0000","-40.5158","1696.3895","612.1579","2237.2737","956.9263","30.0000","2.0000","1.0000","30.0000","29.0000","11.1482","18.7132","0.0000","10.8000","-9.7349","0.0000","0.0000","0.0000","0.0000","60.8842"
"27.750","9.0815","9","0.0420","0.1292","-16.7424","36.5479","10.1595","-3.8795","29.3000","0.2979","14.2267","23.07721293","113.53029168","54.9375","11.2627","-70.7425","-71.6125","-72.2125","-72.1900","-72.7925","-72.6350","-72.5675","-74.5850","0.6418","0.6379","-2.0215","120.7604","1905.3684","1691.5264","0.0908","2.0240","579.8579","1.2108","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45225.3672","0.0000","0.0000","0.0000","0.0000","0.0000","-40.9158","1693.8422","611.4105","2236.8210","956.4105","30.0000","2.0000","1.0000","30.0000","29.0000","11.1450","18.4613","0.0000","10.8000","-9.8144","0.0000","0.0000","0.0000","0.0000","61.0085"
"27.800","9.2506","9","0.0592","0.1029","-16.7156","36.7019","13.9315","-3.9916","29.3000","0.2929","10.5680","23.07721405","113.53029280","54.9609","11.2620","-70.3525","-72.0350","-71.9450","-72.6175","-73.4425","-73.3600","-72.1225","-73.7725","0.5576","0.6914","-2.1270","120.7500","1889.5790","1694.6842","0.2043","1.8589","579.9579","1.4019","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45608.9883","0.0000","0.0000","0.0000","0.0000","0.0000","-39.8632","1704.3684","611.9368","2237.8738","956.9368","30.0000","2.0000","1.0000","30.0000","29.0000","11.1054","19.0437","0.0000","10.8000","-9.9176","0.0000","0.0000","0.0000","0.0000","61.1350"
"27.850","9.4072","9","0.0718","0.0729","-16.6728","37.6811","16.5958","-4.0952","29.3000","0.2900","9.0216","23.07721508","113.53029399","55.0521","11.2587","-71.7300","-71.4950","-71.2975","-72.4775","-73.0375","-72.9750","-72.5875","-73.1950","0.5620","0.5972","-2.1133","120.7500","1889.8948","1693.1052","0.1135","1.8935","579.5369","1.3614","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46038.4648","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0947","1712.1473","611.5369","2238.0000","955.1473","30.0000","2.0000","1.0000","30.0000","29.0000","11.1092","18.6074","0.0000","10.8000","-9.9447","0.0000","0.0000","0.0000","0.0000","61.2642"
"27.900","9.5467","9","0.0781","0.0378","-16.6077","39.7999","17.7306","-4.1871","29.3000","0.2900","8.5694","23.07721597","113.53029525","55.1328","11.2547","-72.5775","-71.1125","-71.7125","-72.6475","-73.3050","-73.0850","-72.4775","-73.9650","0.6201","0.5503","-2.0156","120.7500","1892.0000","1691.0000","0.0000","1.9502","579.2000","1.3290","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46004.7773","0.0000","0.0000","0.0000","0.0000","0.0000","-39.6211","1707.4105","611.0105","2238.0000","953.0421","30.0000","2.0000","1.0000","30.0000","29.0000","11.1471","17.3705","0.0000","10.8000","-9.9594","0.0000","0.0000","0.0000","0.0000","61.3955"
"27.950","9.5791","9","0.0835","0.0077","-16.7653","40.4523","18.7822","-4.2749","29.3000","0.2879","8.1171","23.07721689","113.53029638","55.1719","11.2480","-72.1625","-71.7975","-71.0250","-72.7400","-72.8500","-73.3350","-72.4375","-73.3375","0.6057","0.6350","-2.0645","120.7500","1900.4210","1683.1052","-0.0103","1.7490","579.2000","1.3290","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45907.9375","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1703.8527","610.4842","2236.4526","953.0000","30.0000","2.0000","1.0000","30.0000","29.0000","11.1221","17.6451","0.0000","10.8000","-10.0439","0.0000","0.0000","0.0000","0.0000","61.5282"
