"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"0.400","2.0739","9","-0.0097","0.0968","1.4715","-90.4031","0.0000","13.9318","22.8000","0.1600","10000.0000","23.07707593","113.53032211","44.8688","11.3208","-85.0750","-84.3125","-84.5500","-86.2375","-87.1250","-85.8000","-85.4375","-87.3375","0.6855","0.5322","-2.1230","118.4375","368.8632","356.4948","2.9364","2.9934","550.2000","1.0216","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.8947","37.0000","0.0000","0.0000","-21.0000","1961.1578","465.0000","2509.6277","962.3723","30.6277","7.0000","7.0000","27.0000","26.0000","2.0963","1.0906","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.1731"
"0.450","2.2607","9","0.0078","0.1021","1.1982","-89.3532","0.0000","13.9392","22.8000","0.1600","10000.0000","23.07707600","113.53032183","44.8750","11.3225","-83.7000","-84.8750","-86.4625","-85.4750","-88.0500","-86.8250","-86.0250","-88.1625","0.7095","0.5359","-2.1025","118.4573","393.6000","378.6000","2.9106","2.9831","550.0724","1.1897","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.3684","37.0000","0.0000","0.0000","-21.0000","1956.9474","465.0000","2510.0000","961.6875","30.8438","7.0000","7.0000","27.0000","26.0000","2.2589","1.1709","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.2034"
"0.500","2.4284","9","0.0211","0.1008","0.9261","-88.3405","0.0000","13.9446","22.7880","0.1600","10000.0000","23.07707604","113.53032156","44.8750","11.3259","-84.5125","-85.7625","-85.5000","-87.1125","-88.4000","-86.3750","-85.0375","-87.9625","0.7163","0.5601","-2.0957","118.4833","423.5579","401.3579","2.9232","2.9632","549.7532","1.2514","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.4737","36.8421","0.0000","0.0000","-20.8421","1957.3158","465.0000","2510.0000","960.6458","30.3229","7.0000","7.0000","27.0000","26.0000","2.4294","1.4657","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.2360"
"0.550","2.5362","9","0.0212","0.0784","0.6583","-87.4462","0.0000","13.9437","22.7380","0.1600","10000.0000","23.07707599","113.53032134","44.8656","11.3256","-84.3125","-85.1875","-85.2750","-86.4125","-87.7875","-86.9375","-84.7000","-87.4250","0.6882","0.5574","-2.1104","118.4906","456.7158","424.5158","2.9593","2.9374","549.6000","1.2810","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0526","36.3158","0.0000","0.0000","-20.3158","1968.3684","465.6064","2510.8086","960.8085","30.2021","7.0000","7.0000","27.0000","26.0000","2.6000","2.0432","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.2706"
"0.600","2.6580","9","0.0155","0.0654","0.4902","-87.0105","0.0000","13.9463","22.7000","0.1588","10000.0000","23.07707593","113.53032112","44.8396","11.3189","-84.7875","-85.7500","-85.6625","-86.4750","-86.5750","-87.6750","-85.8375","-87.0625","0.6816","0.5400","-2.1152","118.4646","483.0526","451.0842","2.9657","2.9413","549.6000","1.2810","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.3684","36.4211","0.0000","0.0000","-19.7895","1976.8948","467.2021","2512.9363","962.9362","30.7340","7.0000","7.0000","27.0000","26.0000","2.7705","2.7537","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.3071"
"0.650","2.8243","9","-0.0082","0.0820","0.6376","-88.0270","0.0000","13.9600","22.7000","0.1538","10000.0000","23.07707583","113.53032089","44.8135","11.3123","-84.2375","-86.4875","-85.0000","-87.1625","-87.4125","-86.8125","-84.9750","-87.9000","0.6921","0.5300","-2.1123","118.4385","506.7368","478.9789","2.9605","2.9568","549.6000","1.2810","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.7895","37.4737","0.0000","0.0000","-19.2632","1981.6316","467.4792","2514.0000","964.0000","31.0000","7.0000","7.0000","27.0000","26.0000","2.9410","2.9469","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.3461"
"0.700","2.9835","9","-0.0098","0.0935","0.7180","-87.8792","0.0000","13.9735","22.6880","0.1500","10000.0000","23.07707577","113.53032065","44.8250","11.3152","-84.7125","-86.0250","-85.3625","-86.4625","-87.4375","-87.5625","-85.4875","-88.6250","0.7007","0.5322","-2.1094","118.5125","533.0105","499.1053","2.9596","2.9681","549.6000","1.2810","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.0000","38.2632","0.0000","0.0000","-18.7368","1987.6842","466.4375","2514.0000","964.0000","31.0000","7.0000","7.0000","27.0000","26.0000","3.1115","2.9943","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.3871"
"0.750","3.1200","9","0.0592","0.0886","0.5859","-84.0444","0.0000","13.9870","22.6380","0.1500","10000.0000","23.07707581","113.53032040","44.8380","11.3185","-84.8750","-84.9750","-85.8500","-86.1500","-85.3750","-87.1125","-84.9375","-88.2500","0.7029","0.5359","-2.1182","118.5906","559.8527","517.5263","2.9596","2.9784","549.6000","1.3680","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.0000","38.7895","0.0000","0.0000","-18.2105","1995.0526","465.6915","2512.7659","962.4575","31.0000","7.0000","7.0000","27.0000","26.0000","3.2821","3.0926","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.4301"
"0.800","3.2593","10","0.0885","0.0839","0.4670","-81.9054","0.0000","13.9969","22.6000","0.1500","10000.0000","23.07707580","113.53032009","44.8656","11.3237","-84.9250","-85.1000","-84.8875","-85.8250","-86.8750","-87.5875","-85.2000","-88.2250","0.6987","0.5396","-2.1250","118.5958","581.8527","537.4000","2.9833","2.9839","549.6000","1.4888","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.6316","38.3684","0.0000","0.0000","-17.0526","2011.8948","465.1596","2510.6382","959.7979","31.0000","7.0000","7.0000","27.0000","26.0000","3.4526","3.1979","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.4749"
"0.850","3.4074","10","-0.0075","0.0802","0.3896","-85.1366","0.0000","13.9954","22.6000","0.1500","10000.0000","23.07707561","113.53031964","44.9047","11.3304","-85.2875","-85.4875","-85.1250","-86.3000","-87.0750","-86.0500","-85.8625","-88.2500","0.6890","0.5256","-2.1221","118.5437","603.4737","557.5158","3.0086","2.9885","549.4724","1.5649","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","27.6842","37.3158","0.0000","0.0000","-15.4737","2035.0526","465.7292","2510.7292","961.1875","31.0000","7.0000","7.0000","27.0000","26.0000","3.6045","3.1433","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.5220"
