"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"19.100","11.9934","10","0.2242","-0.0347","-8.8928","82.2751","39.3293","7.9566","17.9880","0.1988","4.8534","23.07724259","113.53006350","44.9771","11.3141","-84.4000","-85.1000","-84.9500","-85.8625","-87.4375","-87.0750","-85.6125","-87.9000","0.5498","0.6699","-2.1055","117.3583","2084.7368","1808.0000","1.1543","1.1012","548.3000","1.7340","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.4105","27.4105","0.0000","0.0000","-53.0000","1525.6947","465.4842","2510.8630","951.4842","29.0000","6.0000","6.0000","27.0000","26.0000","12.0115","26.3536","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","53.9378"
"19.150","11.7573","10","0.1886","-0.0214","-8.8193","83.4074","33.2847","7.9243","17.9380","0.1938","5.6219","23.07724232","113.53006517","44.9781","11.3120","-84.4625","-85.2500","-84.7250","-85.6000","-87.3000","-86.8250","-85.5875","-87.5500","0.5808","0.6846","-2.0752","117.3656","2084.7368","1789.0526","1.1471","1.0806","548.3000","1.7340","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.9368","27.9368","0.0000","0.0000","-53.0000","1530.4315","467.0000","2512.2947","953.5895","29.0000","6.0000","6.0000","27.0000","26.0000","11.9808","26.1100","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.1029"
"19.200","11.5390","10","0.1562","-0.0049","-8.7523","84.5814","27.7566","7.8950","17.9000","0.1888","6.6164","23.07724208","113.53006682","45.0042","11.3120","-84.3875","-84.1250","-84.2875","-86.4625","-86.9375","-86.2250","-84.7625","-87.1000","0.5693","0.6919","-2.1035","117.3396","2082.6316","1757.4736","1.1316","1.1012","548.3000","1.7340","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.5368","27.5368","0.0000","0.0000","-52.5368","1537.0210","467.0000","2513.3474","955.6948","29.0000","6.0000","6.0000","27.0000","26.0000","11.9618","25.8468","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.2656"
"19.250","11.3775","10","0.1341","0.0217","-8.7056","85.8877","23.8640","7.8752","17.9000","0.1838","7.5879","23.07724191","113.53006841","45.0302","11.3120","-83.6750","-85.2125","-84.4375","-86.3375","-86.7250","-86.4625","-85.3625","-86.9000","0.5586","0.6587","-2.1133","117.3135","2076.4736","1745.0526","1.1162","1.1146","548.1895","1.7182","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.0105","27.0105","0.0000","0.0000","-52.0105","1543.8632","466.6000","2513.2000","956.2000","29.0000","6.0000","6.0000","27.0000","26.0000","11.9429","25.4826","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.4252"
"19.300","11.3347","10","0.1136","0.0393","-8.6265","87.1465","20.2283","7.8480","17.9000","0.1764","8.9181","23.07724174","113.53007002","45.0438","11.3184","-83.6000","-85.4125","-83.9500","-86.2000","-86.7375","-87.1125","-85.4625","-87.6250","0.5820","0.6416","-2.0938","117.3375","2068.5789","1740.8422","1.1007","1.1249","547.8211","1.6656","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.0316","26.4842","0.0000","0.0000","-50.9684","1558.4421","465.5474","2511.0947","954.0947","29.0000","6.0000","6.0000","27.0000","26.0000","11.9239","25.0089","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.5832"
"19.350","11.6677","10","0.0983","0.0287","-8.4444","88.2548","17.4060","7.7971","17.9000","0.1614","10.6685","23.07724160","113.53007168","45.0568","11.3251","-83.4250","-85.2250","-83.7625","-85.5875","-86.5000","-87.1000","-84.6375","-86.8625","0.5938","0.6392","-2.0645","117.3635","2055.2104","1733.2632","1.1182","1.1146","547.7053","1.6428","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.9579","26.0842","0.0000","0.0000","-49.7895","1574.6105","465.2526","2510.0000","953.0000","29.0000","6.0000","6.0000","27.0000","26.0000","11.9050","24.5108","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.7422"
"19.400","11.9079","10","0.0817","0.0182","-8.2369","88.9687","14.3694","7.7580","17.9000","0.1500","13.1892","23.07724145","113.53007335","45.0406","11.3243","-83.2250","-85.4375","-84.9000","-85.2875","-87.9375","-86.4625","-85.5375","-87.2250","0.5845","0.6201","-2.0742","117.4333","2040.4736","1724.8422","1.1440","1.0991","547.9684","1.6649","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.4316","27.1368","0.0000","0.0000","-47.1579","1607.2421","465.7790","2510.0000","953.0000","29.0000","6.0000","6.0000","27.0000","26.0000","11.8861","23.9950","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","54.9051"
"19.450","11.8545","10","0.0607","0.0081","-7.9489","88.4334","10.6538","7.7561","17.9000","0.1500","17.7091","23.07724131","113.53007504","45.0016","11.3176","-85.1375","-84.9500","-85.0375","-86.4000","-86.1125","-85.7625","-85.8625","-87.1750","0.5945","0.5872","-2.0674","117.5375","2044.2106","1740.5790","1.1234","1.1347","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.0947","27.9053","0.0000","0.0000","-44.3368","1643.2842","466.0000","2510.0000","953.3052","29.0000","6.0000","6.0000","27.0000","26.0000","11.8671","23.1715","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.0702"
"19.500","11.7619","10","0.0363","-0.0033","-7.7295","88.3193","6.3434","7.7484","17.8880","0.1500","29.5102","23.07724115","113.53007669","44.9708","11.3125","-84.9750","-84.3125","-85.2500","-85.8875","-85.5625","-86.6250","-84.8750","-87.0250","0.6118","0.5669","-2.0664","117.6333","2050.0000","1759.0000","1.0976","1.1760","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.6211","27.3789","0.0000","0.0000","-40.6526","1694.8632","466.0000","2510.0000","953.8316","29.0000","6.0000","6.0000","27.0000","26.0000","11.8482","22.2030","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.2345"
"19.550","11.5455","10","0.0008","-0.0190","-7.7278","89.5386","0.1495","7.7229","17.8380","0.1500","1229.0933","23.07724090","113.53007823","44.9839","11.3159","-83.8625","-84.6875","-84.1625","-86.1875","-87.3125","-86.3750","-85.4750","-87.1500","0.6240","0.5796","-2.0928","117.6854","2038.9474","1800.5790","1.1389","1.1863","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.8526","0.0000","0.0000","-36.8211","1746.7368","465.6421","2509.6421","952.9263","29.0000","6.0000","6.0000","27.0000","26.0000","11.8292","20.3930","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.3970"
"19.600","11.4319","10","-0.0262","-0.0244","-7.6261","90.0552","-4.5844","7.7015","17.8000","0.1500","39.6875","23.07724067","113.53007981","44.9969","11.3192","-84.4250","-85.3625","-84.9750","-86.1625","-87.0000","-86.7500","-85.9375","-86.8875","0.6133","0.5947","-2.0879","117.7375","2027.8422","1839.2632","1.1770","1.1961","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.3263","0.0000","0.0000","-32.6105","1799.3684","465.1158","2509.1157","951.3474","29.0000","6.0000","6.0000","27.0000","26.0000","11.8103","18.3457","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.5567"
"19.650","11.6437","10","-0.0267","0.0033","-7.2083","88.3469","-4.6949","7.6934","17.8000","0.1500","39.4712","23.07724051","113.53008152","45.0000","11.3200","-84.0750","-83.8500","-85.1500","-85.5250","-86.5125","-86.8750","-85.6500","-87.1625","0.5911","0.5618","-2.0742","117.7302","2016.2632","1851.8948","1.1873","1.2013","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.6000","26.6000","0.0000","0.0000","-28.8000","1850.2000","465.4105","2509.8210","951.4105","29.0000","6.0000","6.0000","27.0000","26.0000","11.8080","16.8078","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.7165"
"19.700","11.7602","10","-0.0275","0.0183","-6.8721","86.9854","-4.8289","7.6800","17.8000","0.1488","38.7604","23.07724034","113.53008321","45.0000","11.3200","-83.8875","-84.9875","-84.4250","-86.0250","-86.7875","-87.4750","-85.6625","-88.3500","0.6152","0.5337","-2.0645","117.7042","2002.0526","1853.8948","1.2080","1.2240","548.1000","1.6760","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.5474","28.1789","0.0000","0.0000","-25.6421","1898.0947","465.9368","2510.8738","951.9368","29.0000","6.0000","6.0000","27.0000","26.0000","11.8080","15.3394","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","55.8786"
"19.750","11.5753","10","-0.0288","-0.0069","-6.7945","86.7224","-5.0371","7.6498","17.8000","0.1438","36.5737","23.07724016","113.53008483","44.9813","11.3188","-84.4250","-84.2750","-84.3500","-85.7875","-87.5750","-86.9250","-85.7375","-87.7250","0.6155","0.5549","-2.0840","117.6594","1977.3158","1813.3684","1.2699","1.3168","548.0579","1.7168","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.0000","28.4947","0.0000","0.0000","-21.7263","1951.0421","466.4632","2512.3894","953.8527","29.0000","6.0000","6.0000","27.0000","26.0000","11.7709","14.5105","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.0408"
"19.800","11.4565","11","-0.0249","-0.0263","-6.6862","86.9413","-4.3426","7.6231","17.7880","0.1400","41.9881","23.07723997","113.53008646","44.9292","11.3155","-83.6625","-85.2000","-85.1750","-85.8375","-87.7500","-86.7500","-85.7000","-87.4000","0.6133","0.5513","-2.0645","117.5813","1961.1052","1796.3684","1.3163","1.3555","548.0052","1.7679","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.0000","27.4421","0.0000","0.0000","-16.9895","2009.4631","466.9895","2513.9685","955.9579","29.0000","6.0000","6.0000","27.0000","26.0000","11.7375","13.5587","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.2011"
"19.850","11.5474","11","-0.0046","-0.0271","-6.4812","88.6864","-0.7892","7.6073","17.7380","0.1400","232.8789","23.07723974","113.53008807","44.8771","11.3121","-84.3875","-86.0000","-84.7750","-87.3250","-87.6500","-86.2500","-85.8875","-88.5250","0.6301","0.5281","-2.0615","117.5031","1964.7894","1834.2632","1.3266","1.2678","547.8105","1.7962","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.3053","27.0000","0.0000","0.0000","-13.1684","2060.2527","466.4842","2514.0000","957.0316","29.0000","6.0000","6.0000","27.0000","26.0000","11.7562","11.0431","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.3606"
"19.900","11.5992","11","0.0172","-0.0219","-6.2759","89.5896","3.0297","7.5945","17.7000","0.1388","60.9317","23.07723953","113.53008970","44.9125","11.3184","-84.4750","-85.8750","-85.3750","-86.2875","-88.3250","-86.8250","-85.7375","-88.4125","0.6216","0.5327","-2.0859","117.5250","1964.4736","1850.0526","1.3080","1.2131","547.6000","1.8220","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.8316","27.0000","0.0000","0.0000","-10.0105","2105.5159","465.9579","2513.9158","957.8316","29.0000","6.0000","6.0000","27.0000","26.0000","11.7720","8.8125","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.5212"
"19.950","11.5277","11","0.0434","0.0024","-6.0702","87.8266","7.6895","7.5907","17.7000","0.1338","23.8595","23.07723939","113.53009134","44.9516","11.3251","-85.2375","-85.2625","-85.1625","-86.2875","-86.7000","-87.0500","-85.8875","-87.4625","0.6094","0.5349","-2.1260","117.5510","1958.1578","1832.6842","1.2461","1.2080","547.6000","1.8220","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.3579","26.2842","0.0000","0.0000","-7.9263","2134.6736","465.4316","2512.8630","955.7263","29.0000","6.0000","6.0000","27.0000","26.0000","11.7720","8.0785","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.6818"
"20.000","11.4985","11","0.0643","0.0187","-5.9026","87.2349","11.3883","7.5784","17.6880","0.1300","16.0695","23.07723919","113.53009296","44.9615","11.3280","-83.5375","-85.4250","-85.5625","-86.0750","-86.9500","-86.3125","-85.7875","-88.2000","0.5698","0.5693","-2.1855","117.5771","1951.5790","1826.3684","1.1868","1.1822","547.6000","1.8220","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.8842","25.2316","0.0000","0.0000","-6.3474","2156.2527","464.8105","2511.5264","953.8105","29.0000","6.0000","6.0000","27.0000","26.0000","11.7615","7.1650","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","56.8418"
"20.050","11.6036","11","0.0682","0.0096","-5.8552","90.3522","12.0439","7.5388","17.6380","0.1300","15.3336","23.07723875","113.53009452","44.9484","11.3280","-83.5625","-85.5000","-85.1375","-85.7500","-87.2250","-86.6750","-84.1500","-87.4875","0.5669","0.5681","-2.1025","117.6031","1944.7368","1831.1052","1.1301","1.1358","547.6000","1.8220","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","25.4105","0.0000","0.0000","-5.5895","2164.2842","463.7579","2508.8948","952.7579","29.0000","6.0000","6.0000","27.0000","26.0000","11.7240","5.7900","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.0019"
"20.100","11.6481","11","0.0733","0.0007","-5.8338","92.4699","12.9059","7.5001","17.6000","0.1300","14.3644","23.07723836","113.53009609","44.9396","11.3280","-83.4875","-85.6500","-84.8500","-85.1375","-87.5000","-86.2125","-85.6000","-87.3500","0.6060","0.5474","-2.0156","117.6292","1931.2632","1824.4736","1.1476","1.1667","547.5895","1.8033","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","25.9368","0.0000","0.0000","-5.0632","2168.4946","463.2947","2507.5894","951.8527","29.0000","6.0000","6.0000","27.0000","26.0000","11.6931","5.1723","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.1632"
"20.150","11.5010","11","0.0819","-0.0076","-5.8944","91.4226","14.4218","7.4641","17.6000","0.1300","12.6922","23.07723811","113.53009768","44.9526","11.3280","-83.9875","-85.4875","-85.2125","-86.7000","-87.4625","-86.7125","-85.9125","-88.1250","0.6138","0.5112","-2.0371","117.6552","1913.3684","1810.2632","1.2147","1.2492","547.5369","1.7096","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.4632","0.0000","0.0000","-4.5368","2174.5579","464.3474","2509.6948","951.3263","29.0000","6.0000","6.0000","27.0000","26.0000","11.6739","5.9011","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.3242"
"20.200","11.4205","11","0.0783","-0.0112","-5.8720","91.0188","13.7707","7.4341","17.6000","0.1300","13.1992","23.07723782","113.53009927","44.9656","11.3280","-84.2750","-85.3875","-84.6625","-86.4750","-87.4875","-86.8750","-85.6750","-87.7125","0.5791","0.5317","-2.1133","117.6813","1916.4736","1808.2106","1.1915","1.2054","547.5789","1.6342","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.9895","0.0000","0.0000","-4.0105","2180.8738","466.0000","2511.2000","952.2000","29.0000","6.0000","6.0000","27.0000","26.0000","11.6550","6.1275","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.4836"
"20.250","11.5504","11","0.0356","0.0001","-5.5864","92.6528","6.2575","7.4227","17.6000","0.1300","29.3778","23.07723742","113.53010089","44.9391","11.3204","-84.4625","-85.3250","-84.6500","-84.7125","-86.3000","-86.5750","-84.8750","-87.8625","0.5693","0.5132","-2.1455","117.6479","1928.5790","1811.3684","1.1296","1.1074","547.8421","1.6016","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.4842","27.0000","0.0000","0.0000","-1.4211","2221.7473","468.6316","2511.7263","955.3579","29.0000","6.0000","6.0000","27.0000","26.0000","11.6362","5.8098","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.6427"
"20.300","11.6207","11","0.0005","0.0048","-5.3773","93.3854","0.0894","7.4049","17.6000","0.1312","2069.8408","23.07723709","113.53010251","44.9000","11.3104","-84.2500","-86.0125","-85.3875","-85.9625","-86.3000","-86.4000","-84.7875","-88.6375","0.5869","0.5552","-2.0820","117.5958","1932.2632","1829.6842","1.2204","1.2446","548.0000","1.5820","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.9579","27.0000","0.0000","0.0000","1.1684","2261.9368","468.7368","2511.4946","955.4842","29.0000","6.0000","6.0000","27.0000","26.0000","11.6173","5.3304","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.8034"
"20.350","11.5021","11","-0.0103","-0.0116","-5.4099","91.2636","-1.8193","7.3664","17.6000","0.1362","100.6238","23.07723700","113.53010413","44.8984","11.3064","-84.8375","-85.2875","-85.1625","-85.8250","-86.8250","-86.2750","-85.8125","-88.4125","0.6155","0.5342","-2.0596","117.5719","1933.8422","1851.7894","1.3493","1.4406","548.0000","1.5820","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.4316","27.0000","0.0000","0.0000","3.2737","2286.1475","466.1053","2510.4421","952.3263","29.0000","6.0000","6.0000","27.0000","26.0000","11.5981","4.7240","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","57.9641"
"20.400","11.4091","11","-0.0185","-0.0227","-5.4229","89.8464","-3.2648","7.3276","17.6000","0.1388","55.6171","23.07723684","113.53010575","44.9635","11.3131","-85.0500","-84.3625","-84.8125","-86.6375","-85.4375","-86.9000","-85.0625","-87.7625","0.5938","0.5356","-2.0957","117.5979","1917.8948","1842.1578","1.3065","1.3488","548.0000","1.5820","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.1895","26.9053","0.0000","0.0000","5.0947","2307.8948","465.3053","2510.3052","951.6105","29.0000","6.0000","6.0000","27.0000","26.0000","11.5792","3.7792","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","58.1235"
"20.450","11.3972","11","-0.0183","-0.0171","-5.3735","90.6605","-3.2441","7.2877","17.6000","0.1338","55.9138","23.07723650","113.53010733","45.0286","11.3197","-84.7625","-85.0875","-84.0000","-86.4750","-86.8625","-86.7625","-85.0125","-87.7250","0.5520","0.5203","-2.1260","117.6240","1900.0000","1829.0000","1.2446","1.2250","548.0000","1.5820","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.2421","26.3789","0.0000","0.0000","5.6211","2318.4211","465.8316","2510.8315","952.6631","29.0000","6.0000","6.0000","27.0000","26.0000","11.5605","2.6750","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","58.2820"
"20.500","11.3884","11","-0.0262","-0.0133","-5.2688","91.0706","-4.6488","7.2531","17.5880","0.1300","38.9887","23.07723618","113.53010892","45.0687","11.3200","-84.5875","-84.8125","-85.2125","-85.9750","-86.8125","-87.3875","-85.2625","-86.4000","0.5947","0.4978","-2.1211","117.6250","1883.6842","1850.0526","1.1621","1.1631","548.0316","1.5921","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.1474","0.0000","0.0000","6.1474","2327.1790","466.0000","2510.2842","953.0000","29.0000","6.0000","6.0000","27.0000","26.0000","11.5123","2.2685","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","58.4402"
"20.550","11.3894","11","-0.0594","-0.0155","-4.9886","90.2013","-10.5673","7.2355","17.5380","0.1300","17.1537","23.07723591","113.53011054","45.1078","11.3200","-83.8625","-84.9375","-84.9125","-85.9250","-87.4875","-86.9625","-85.1125","-87.0125","0.6353","0.4885","-2.0107","117.6250","1869.4210","1869.0526","1.0991","1.1193","548.0842","1.6089","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.6737","0.0000","0.0000","6.6737","2331.3894","466.0000","2509.2317","953.0000","29.0000","6.0000","6.0000","27.0000","26.0000","11.4549","2.0823","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","58.5984"
"20.600","11.3736","11","-0.0748","-0.0151","-4.8032","89.6753","-13.3263","7.2110","17.5000","0.1300","13.5834","23.07723563","113.53011213","45.0958","11.3200","-83.3375","-84.9500","-85.0500","-84.4875","-87.3375","-86.0625","-85.3625","-87.1000","0.6123","0.4790","-2.0371","117.6250","1873.6316","1869.5790","1.2126","1.2379","548.1000","1.6140","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","17.0000","26.8000","0.0000","0.0000","7.6000","2341.0000","466.0000","2508.1790","952.1790","29.0000","6.0000","6.0000","27.0000","26.0000","11.4645","1.5833","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","58.7566"
